Designator,Mid X,Mid Y,Rotation,Layer
C1,152.5,-85.2,180.0,top
C2,147.96,-80.14,90.0,top
C3,157.05,-82.25,180.0,top
C4,150.6,-83.64,180.0,top
C5,149.15,-64.15,180.0,top
C6,128.0,-59.6,90.0,top
C7,152.05,-54.35,0.0,top
C8,152.15,-64.15,0.0,top
D1,153.54,-79.23,180.0,top
D2,138.8,-47.55,0.0,top
D3,135.5,-47.55,180.0,top
J1,143.51,-85.56,0.0,top
J2,135.15,-60.8,270.0,top
J3,150.75,-47.0,270.0,top
J4,143.45,-50.2,90.0,top
J5,150.4,-90.7,90.0,top
Q1,155.6,-64.75,180.0,top
R1,150.37,-79.43,180.0,top
R10,155.7,-67.3,0.0,top
R11,152.65,-67.3,0.0,top
R12,152.05,-52.8,180.0,top
R13,149.0,-54.35,180.0,top
R2,141.02,-82.7475,180.0,top
R3,141.02,-81.1475,180.0,top
R4,149.15,-65.65,180.0,top
R5,156.74,-79.26,0.0,top
R6,149.15,-67.15,0.0,top
R7,138.75,-49.8,180.0,top
R8,135.5,-49.8,0.0,top
R9,155.675,-70.35,180.0,top
S1,133.41,-81.57,0.0,top
S2,133.41,-87.22,0.0,top
U1,143.4625,-46.3,180.0,top
U2,155.8,-85.2,90.0,top
U3,151.0625,-81.48,0.0,top
U4,151.7,-59.1,90.0,top
